region,district_ocha,idp_settlement,n,,,,,,dataset,idp_settlement,,sampling frame,,,,,,,,Row Labels,hc,idp,Grand Total
lower_shabelle,Banadir,yes,4,,,,,sool,Xudun,75,128,6712,2445,,,,,,,Qardho,11362,,11362
lower_shabelle,Buur Hakaba,no,1,,,,,togdheer,Burco,133,77,312664,13318,,,,,,,Qoryooley,30084,,30084
lower_shabelle,Marka,no,61,,,,,togdheer,Buuhoodle,65,112,15808,3440,,,,,,,Sheikh,30989,,30989
lower_shabelle,Qoryooley,no,145,,,,,togdheer,Owdweyne,137,65,34905,290,,,,,,,taleex,6767,670,7437
lower_shabelle,Qoryooley,yes,1,,,,,togdheer,Sheikh,130,NA,30989,0,,,,,,,Waajid,5205,1679,6884
lower_shabelle,Wanla Weyn,no,144,,,,,woqooyi_galbeed,Berbera,78,76,71070,1370,,,,,,,Wanla Weyn,8126,1350,9476
lower_shabelle,Wanla Weyn,yes,83,,,,,woqooyi_galbeed,Gebiley,121,69,72464,1440,,,,,,,xudun,6712,2445,9157
middle_shabelle,Balcad,no,85,,,,,woqooyi_galbeed,Hargeysa,125,115,639142,20170,,,,,,,xudur,38768,166,38934
middle_shabelle,Jowhar,no,101,,,,,,,,,,,,,,,,,zeylac,19051,,19051
middle_shabelle,Jowhar,yes,109,,,,,,,,,,,,,,,,,Belet weyne,12866,7426,20292
mudug,Gaalkacyo,no,158,,,,,,,,,,,,,,,,,mogadishu daynile,,69410.69468,69410.69468
mudug,Gaalkacyo,yes,208,,,,,,,,,,,,,,,,,mogadishu dharkenley,,4365.479308,4365.479308
mudug,Galdogob,no,77,,,,,,,,,,,,,,,,,mogadishu hodan,,7501.746506,7501.746506
mudug,Galdogob,yes,77,,,,,,,,,,,,,,,,,mogadishu kahda,,49770.30095,49770.30095
mudug,Hobyo,no,114,,,,,,,,,,,,,,,,,Mogadishu - other IDP,,4302.952911,4302.952911
mudug,Hobyo,yes,66,,,,,,,,,,,,,,,,,Mogadishu - other HC,89780.14401,,89780.14401
mudug,Jariiban,no,84,,,,,,,,,,,,,,,,,Mogadishu - protracted IDP,,5570.533492,5570.533492
nugaal,Burtinle,no,94,,,,,,,,,,,,,,,,,Grand Total,3322763.652,356823.7078,3679587.36
nugaal,Burtinle,yes,63,,,,,,,,,,,,,,,,,,,,
nugaal,Eyl,no,135,,,,,,,,,,,,,,,,,,,,
nugaal,Garoowe,no,92,,,,,,,,,,,,,,,,,,,,
nugaal,Garoowe,yes,137,,,,,,,,,,,,,,,,,,,,
sanaag,Ceel Afweyn,no,69,,,,,,,,,,,,,,,,,,,,
sanaag,Ceel Afweyn,yes,86,,,,,,,,,,,,,,,,,,,,
sanaag,Ceerigaabo,no,174,,,,,,,,,,,,,,,,,,,,
sanaag,Ceerigaabo,yes,48,,,,,,,,,,,,,,,,,,,,
sanaag,Laasqoray,no,188,,,,,,,,,,,,,,,,,,,,
sanaag,Laasqoray,yes,95,,,,,,,,,,,,,,,,,,,,
sool,Caynabo,no,139,,,,,,,,,,,,,,,,,,,,
sool,Caynabo,yes,79,,,,,,,,,,,,,,,,,,,,
sool,Laas Caanood,no,80,,,,,,,,,,,,,,,,,,,,
sool,Laas Caanood,yes,140,,,,,,,,,,,,,,,,,,,,
sool,Taleex,no,77,,,,,,,,,,,,,,,,,,,,
sool,Taleex,yes,66,,,,,,,,,,,,,,,,,,,,
sool,Xudun,no,75,,,,,,,,,,,,,,,,,,,,
sool,Xudun,yes,128,,,,,,,,,,,,,,,,,,,,
togdheer,Burco,no,133,,,,,,,,,,,,,,,,,,,,
